received_at	device_id	f_port	f_cnt	decoded_payload	rssi	data_rate_index	consumed_airtime
2025-03-25T06:09:34.930937390Z	eui-70b3d57ed005a0a2	117	21	{'CH4': 894, 'co2': 199, 'rh': 80.1, 'temp': 13.7, 'unix': 1742886569}	-86		0.061696s
2025-03-25T07:09:34.201999842Z	eui-70b3d57ed005a0a2	117	22	{'CH4': 870, 'co2': 425, 'rh': 79.7, 'temp': 14.1, 'unix': 1742890171}	-86		0.066816s
2025-03-25T09:09:32.747352443Z	eui-70b3d57ed005a0a2	117	24	{'CH4': 898, 'co2': 249, 'rh': 79.7, 'temp': 13.9, 'unix': 1742897366}	-85		0.061696s
2025-03-25T10:09:32.027113530Z	eui-70b3d57ed005a0a2	117	25	{'CH4': 899, 'co2': 195, 'rh': 79.7, 'temp': 14.4, 'unix': 1742900965}	-86		0.061696s
2025-03-25T11:09:31.332738778Z	eui-70b3d57ed005a0a2	117	26	{'CH4': 895, 'co2': 428, 'rh': 79.8, 'temp': 14.7, 'unix': 1742904564}	-83		0.061696s
2025-03-25T12:09:30.650960098Z	eui-70b3d57ed005a0a2	117	27	{'CH4': 921, 'co2': 328, 'rh': 79.6, 'temp': 15.5, 'unix': 1742908168}	-86		0.066816s
2025-03-25T13:09:29.964275414Z	eui-70b3d57ed005a0a2	117	28	{'CH4': 998, 'co2': 249, 'rh': 80.5, 'temp': 17.9, 'unix': 1742911764}	-86		0.061696s
2025-03-25T14:09:29.267873964Z	eui-70b3d57ed005a0a2	117	29	{'CH4': 979, 'co2': 192, 'rh': 78.9, 'temp': 16.8, 'unix': 1742915366}	-85		0.061696s
2025-03-25T15:09:28.580254159Z	eui-70b3d57ed005a0a2	117	30	{'CH4': 905, 'co2': 419, 'rh': 78.9, 'temp': 16.1, 'unix': 1742918961}	-85		0.061696s
2025-03-25T16:09:27.911033368Z	eui-70b3d57ed005a0a2	117	31	{'CH4': 931, 'co2': 306, 'rh': 79.5, 'temp': 15.2, 'unix': 1742922564}	-86		0.061696s
2025-03-25T17:09:27.212842321Z	eui-70b3d57ed005a0a2	117	32	{'CH4': 930, 'co2': 234, 'rh': 79.6, 'temp': 15.5, 'unix': 1742926162}	-85		0.061696s
2025-03-25T18:09:26.516166304Z	eui-70b3d57ed005a0a2	117	33	{'CH4': 921, 'co2': 174, 'rh': 79.8, 'temp': 14.5, 'unix': 1742929759}	-86		0.061696s
2025-03-25T19:09:25.816110609Z	eui-70b3d57ed005a0a2	117	34	{'CH4': 888, 'co2': 430, 'rh': 79.9, 'temp': 14.2, 'unix': 1742933361}	-85		0.061696s
2025-03-25T20:09:25.109225682Z	eui-70b3d57ed005a0a2	117	35	{'CH4': 910, 'co2': 319, 'rh': 79.6, 'temp': 13.7, 'unix': 1742936962}	-85		0.061696s
2025-03-25T21:09:24.394801781Z	eui-70b3d57ed005a0a2	117	36	{'CH4': 906, 'co2': 237, 'rh': 79.5, 'temp': 13.9, 'unix': 1742940559}	-86		0.061696s
2025-03-25T22:09:23.683896112Z	eui-70b3d57ed005a0a2	117	37	{'CH4': 902, 'co2': 180, 'rh': 79.5, 'temp': 13.8, 'unix': 1742944159}	-85		0.061696s
2025-03-25T23:09:22.969357277Z	eui-70b3d57ed005a0a2	117	38	{'CH4': 898, 'co2': 431, 'rh': 79.6, 'temp': 14.1, 'unix': 1742947759}	-84		0.061696s
2025-03-26T00:09:22.253234117Z	eui-70b3d57ed005a0a2	117	39	{'CH4': 912, 'co2': 326, 'rh': 79.7, 'temp': 14, 'unix': 1742951359}	-88		0.061696s
2025-03-26T01:09:21.541123553Z	eui-70b3d57ed005a0a2	117	40	{'CH4': 911, 'co2': 250, 'rh': 79.7, 'temp': 14, 'unix': 1742954958}	-85		0.061696s
2025-03-26T02:09:20.829659669Z	eui-70b3d57ed005a0a2	117	41	{'CH4': 906, 'co2': 199, 'rh': 80.4, 'temp': 13.4, 'unix': 1742958553}	-86		0.061696s
2025-03-26T03:09:20.100970665Z	eui-70b3d57ed005a0a2	117	42	{'CH4': 877, 'co2': 423, 'rh': 80.1, 'temp': 13, 'unix': 1742962157}	-85		0.061696s
2025-03-26T04:09:19.395066066Z	eui-70b3d57ed005a0a2	117	43	{'CH4': 872, 'co2': 330, 'rh': 80.4, 'temp': 12.4, 'unix': 1742965755}	-86		0.066816s
2025-03-26T05:09:18.696006685Z	eui-70b3d57ed005a0a2	117	44	{'CH4': 876, 'co2': 264, 'rh': 80.4, 'temp': 12.5, 'unix': 1742969355}	-88		0.061696s
2025-03-26T06:09:18.004593978Z	eui-70b3d57ed005a0a2	117	45	{'CH4': 904, 'co2': 215, 'rh': 80.7, 'temp': 13, 'unix': 1742972953}	-86		0.061696s
2025-03-26T07:09:17.308387852Z	eui-70b3d57ed005a0a2	117	46	{'CH4': 884, 'co2': 432, 'rh': 80.5, 'temp': 13.7, 'unix': 1742976553}	-88		0.061696s
2025-03-26T08:09:16.703949143Z	eui-70b3d57ed005a0a2	117	47	{'CH4': 951, 'co2': 341, 'rh': 80.9, 'temp': 16.7, 'unix': 1742980154}	-90		0.061696s
2025-03-26T09:09:16.000737417Z	eui-70b3d57ed005a0a2	117	48	{'CH4': 1046, 'co2': 271, 'rh': 80.7, 'temp': 20.1, 'unix': 1742983753}	-91		0.061696s
2025-03-26T10:09:15.270582693Z	eui-70b3d57ed005a0a2	117	49	{'CH4': 1123, 'co2': 224, 'rh': 80.6, 'temp': 22.1, 'unix': 1742987350}	-91		0.061696s
2025-03-26T11:09:14.687988367Z	eui-70b3d57ed005a0a2	117	50	{'CH4': 1068, 'co2': 434, 'rh': 80.6, 'temp': 21.9, 'unix': 1742990948}	-86		0.061696s
2025-03-26T12:09:13.800561175Z	eui-70b3d57ed005a0a2	117	51	{'CH4': 1164, 'co2': 328, 'rh': 81.3, 'temp': 22.9, 'unix': 1742994548}	-91		0.061696s
2025-03-26T13:09:13.068137313Z	eui-70b3d57ed005a0a2	117	52	{'CH4': 1120, 'co2': 250, 'rh': 77.3, 'temp': 22.6, 'unix': 1742998147}	-91		0.061696s
2025-03-26T14:09:12.343173501Z	eui-70b3d57ed005a0a2	117	53	{'CH4': 1118, 'co2': 184, 'rh': 77.5, 'temp': 21.4, 'unix': 1743001748}	-91		0.066816s
2025-03-26T15:09:11.591690Z	eui-70b3d57ed005a0a2	117	54	{'CH4': 948, 'co2': 422, 'rh': 78.6, 'temp': 18.2, 'unix': 1743005345}	-90		0.061696s
2025-03-26T16:09:10.865866933Z	eui-70b3d57ed005a0a2	117	55	{'CH4': 977, 'co2': 296, 'rh': 78.8, 'temp': 17.3, 'unix': 1743008946}	-94		0.061696s
2025-03-26T17:09:10.176616266Z	eui-70b3d57ed005a0a2	117	56	{'CH4': 966, 'co2': 210, 'rh': 79.8, 'temp': 15.9, 'unix': 1743012547}	-94		0.061696s
2025-03-26T18:09:09.469420172Z	eui-70b3d57ed005a0a2	117	57	{'CH4': 956, 'co2': 155, 'rh': 80.4, 'temp': 14.8, 'unix': 1743016144}	-91		0.061696s
2025-03-26T19:09:08.743657377Z	eui-70b3d57ed005a0a2	117	58	{'CH4': 866, 'co2': 438, 'rh': 80.9, 'temp': 13.8, 'unix': 1743019745}	-90		0.061696s
2025-03-25T00:09:39.225850265Z	eui-70b3d57ed005a0a2	117	15	{'CH4': 774, 'co2': 353, 'rh': 80.4, 'temp': 12.6, 'unix': 1742864971}	-86		0.061696s
2025-03-25T01:09:38.535763204Z	eui-70b3d57ed005a0a2	117	16	{'CH4': 780, 'co2': 257, 'rh': 80, 'temp': 13, 'unix': 1742868572}	-88		0.061696s
2025-03-25T02:09:37.816154816Z	eui-70b3d57ed005a0a2	117	17	{'CH4': 791, 'co2': 204, 'rh': 80, 'temp': 13.1, 'unix': 1742872170}	-85		0.061696s
2025-03-25T03:09:37.105855806Z	eui-70b3d57ed005a0a2	117	18	{'CH4': 840, 'co2': 433, 'rh': 80.2, 'temp': 13.1, 'unix': 1742875769}	-86		0.061696s
2025-03-25T04:09:36.374024276Z	eui-70b3d57ed005a0a2	117	19	{'CH4': 857, 'co2': 332, 'rh': 80, 'temp': 13.4, 'unix': 1742879373}	-88		0.061696s
2025-03-25T05:09:35.645449322Z	eui-70b3d57ed005a0a2	117	20	{'CH4': 878, 'co2': 263, 'rh': 80, 'temp': 13.3, 'unix': 1742882971}	-88		0.061696s
2025-03-25T06:09:34.930937390Z	eui-70b3d57ed005a0a2	117	21	{'CH4': 894, 'co2': 199, 'rh': 80.1, 'temp': 13.7, 'unix': 1742886569}	-86		0.061696s
2025-03-25T07:09:34.201999842Z	eui-70b3d57ed005a0a2	117	22	{'CH4': 870, 'co2': 425, 'rh': 79.7, 'temp': 14.1, 'unix': 1742890171}	-86		0.066816s
2025-03-25T09:09:32.747352443Z	eui-70b3d57ed005a0a2	117	24	{'CH4': 898, 'co2': 249, 'rh': 79.7, 'temp': 13.9, 'unix': 1742897366}	-85		0.061696s
2025-03-25T10:09:32.027113530Z	eui-70b3d57ed005a0a2	117	25	{'CH4': 899, 'co2': 195, 'rh': 79.7, 'temp': 14.4, 'unix': 1742900965}	-86		0.061696s
2025-03-25T11:09:31.332738778Z	eui-70b3d57ed005a0a2	117	26	{'CH4': 895, 'co2': 428, 'rh': 79.8, 'temp': 14.7, 'unix': 1742904564}	-83		0.061696s
2025-03-25T12:09:30.650960098Z	eui-70b3d57ed005a0a2	117	27	{'CH4': 921, 'co2': 328, 'rh': 79.6, 'temp': 15.5, 'unix': 1742908168}	-86		0.066816s
2025-03-25T13:09:29.964275414Z	eui-70b3d57ed005a0a2	117	28	{'CH4': 998, 'co2': 249, 'rh': 80.5, 'temp': 17.9, 'unix': 1742911764}	-86		0.061696s
2025-03-25T14:09:29.267873964Z	eui-70b3d57ed005a0a2	117	29	{'CH4': 979, 'co2': 192, 'rh': 78.9, 'temp': 16.8, 'unix': 1742915366}	-85		0.061696s
2025-03-25T15:09:28.580254159Z	eui-70b3d57ed005a0a2	117	30	{'CH4': 905, 'co2': 419, 'rh': 78.9, 'temp': 16.1, 'unix': 1742918961}	-85		0.061696s
2025-03-25T16:09:27.911033368Z	eui-70b3d57ed005a0a2	117	31	{'CH4': 931, 'co2': 306, 'rh': 79.5, 'temp': 15.2, 'unix': 1742922564}	-86		0.061696s
2025-03-25T17:09:27.212842321Z	eui-70b3d57ed005a0a2	117	32	{'CH4': 930, 'co2': 234, 'rh': 79.6, 'temp': 15.5, 'unix': 1742926162}	-85		0.061696s
2025-03-25T18:09:26.516166304Z	eui-70b3d57ed005a0a2	117	33	{'CH4': 921, 'co2': 174, 'rh': 79.8, 'temp': 14.5, 'unix': 1742929759}	-86		0.061696s
2025-03-25T19:09:25.816110609Z	eui-70b3d57ed005a0a2	117	34	{'CH4': 888, 'co2': 430, 'rh': 79.9, 'temp': 14.2, 'unix': 1742933361}	-85		0.061696s
2025-03-25T20:09:25.109225682Z	eui-70b3d57ed005a0a2	117	35	{'CH4': 910, 'co2': 319, 'rh': 79.6, 'temp': 13.7, 'unix': 1742936962}	-85		0.061696s
2025-03-25T21:09:24.394801781Z	eui-70b3d57ed005a0a2	117	36	{'CH4': 906, 'co2': 237, 'rh': 79.5, 'temp': 13.9, 'unix': 1742940559}	-86		0.061696s
2025-03-25T22:09:23.683896112Z	eui-70b3d57ed005a0a2	117	37	{'CH4': 902, 'co2': 180, 'rh': 79.5, 'temp': 13.8, 'unix': 1742944159}	-85		0.061696s
2025-03-25T23:09:22.969357277Z	eui-70b3d57ed005a0a2	117	38	{'CH4': 898, 'co2': 431, 'rh': 79.6, 'temp': 14.1, 'unix': 1742947759}	-84		0.061696s
2025-03-26T00:09:22.253234117Z	eui-70b3d57ed005a0a2	117	39	{'CH4': 912, 'co2': 326, 'rh': 79.7, 'temp': 14, 'unix': 1742951359}	-88		0.061696s
2025-03-26T01:09:21.541123553Z	eui-70b3d57ed005a0a2	117	40	{'CH4': 911, 'co2': 250, 'rh': 79.7, 'temp': 14, 'unix': 1742954958}	-85		0.061696s
2025-03-26T02:09:20.829659669Z	eui-70b3d57ed005a0a2	117	41	{'CH4': 906, 'co2': 199, 'rh': 80.4, 'temp': 13.4, 'unix': 1742958553}	-86		0.061696s
2025-03-26T03:09:20.100970665Z	eui-70b3d57ed005a0a2	117	42	{'CH4': 877, 'co2': 423, 'rh': 80.1, 'temp': 13, 'unix': 1742962157}	-85		0.061696s
2025-03-26T04:09:19.395066066Z	eui-70b3d57ed005a0a2	117	43	{'CH4': 872, 'co2': 330, 'rh': 80.4, 'temp': 12.4, 'unix': 1742965755}	-86		0.066816s
2025-03-26T05:09:18.696006685Z	eui-70b3d57ed005a0a2	117	44	{'CH4': 876, 'co2': 264, 'rh': 80.4, 'temp': 12.5, 'unix': 1742969355}	-88		0.061696s
2025-03-26T06:09:18.004593978Z	eui-70b3d57ed005a0a2	117	45	{'CH4': 904, 'co2': 215, 'rh': 80.7, 'temp': 13, 'unix': 1742972953}	-86		0.061696s
2025-03-26T07:09:17.308387852Z	eui-70b3d57ed005a0a2	117	46	{'CH4': 884, 'co2': 432, 'rh': 80.5, 'temp': 13.7, 'unix': 1742976553}	-88		0.061696s
2025-03-26T08:09:16.703949143Z	eui-70b3d57ed005a0a2	117	47	{'CH4': 951, 'co2': 341, 'rh': 80.9, 'temp': 16.7, 'unix': 1742980154}	-90		0.061696s
2025-03-26T09:09:16.000737417Z	eui-70b3d57ed005a0a2	117	48	{'CH4': 1046, 'co2': 271, 'rh': 80.7, 'temp': 20.1, 'unix': 1742983753}	-91		0.061696s
2025-03-26T10:09:15.270582693Z	eui-70b3d57ed005a0a2	117	49	{'CH4': 1123, 'co2': 224, 'rh': 80.6, 'temp': 22.1, 'unix': 1742987350}	-91		0.061696s
2025-03-26T11:09:14.687988367Z	eui-70b3d57ed005a0a2	117	50	{'CH4': 1068, 'co2': 434, 'rh': 80.6, 'temp': 21.9, 'unix': 1742990948}	-86		0.061696s
2025-03-26T12:09:13.800561175Z	eui-70b3d57ed005a0a2	117	51	{'CH4': 1164, 'co2': 328, 'rh': 81.3, 'temp': 22.9, 'unix': 1742994548}	-91		0.061696s
2025-03-26T13:09:13.068137313Z	eui-70b3d57ed005a0a2	117	52	{'CH4': 1120, 'co2': 250, 'rh': 77.3, 'temp': 22.6, 'unix': 1742998147}	-91		0.061696s
2025-03-26T14:09:12.343173501Z	eui-70b3d57ed005a0a2	117	53	{'CH4': 1118, 'co2': 184, 'rh': 77.5, 'temp': 21.4, 'unix': 1743001748}	-91		0.066816s
2025-03-26T15:09:11.591690Z	eui-70b3d57ed005a0a2	117	54	{'CH4': 948, 'co2': 422, 'rh': 78.6, 'temp': 18.2, 'unix': 1743005345}	-90		0.061696s
2025-03-26T16:09:10.865866933Z	eui-70b3d57ed005a0a2	117	55	{'CH4': 977, 'co2': 296, 'rh': 78.8, 'temp': 17.3, 'unix': 1743008946}	-94		0.061696s
2025-03-26T17:09:10.176616266Z	eui-70b3d57ed005a0a2	117	56	{'CH4': 966, 'co2': 210, 'rh': 79.8, 'temp': 15.9, 'unix': 1743012547}	-94		0.061696s
2025-03-26T18:09:09.469420172Z	eui-70b3d57ed005a0a2	117	57	{'CH4': 956, 'co2': 155, 'rh': 80.4, 'temp': 14.8, 'unix': 1743016144}	-91		0.061696s
2025-03-26T19:09:08.743657377Z	eui-70b3d57ed005a0a2	117	58	{'CH4': 866, 'co2': 438, 'rh': 80.9, 'temp': 13.8, 'unix': 1743019745}	-90		0.061696s
2025-03-26T20:09:08.001453907Z	eui-70b3d57ed005a0a2	117	59	{'CH4': 896, 'co2': 307, 'rh': 80.6, 'temp': 13.9, 'unix': 1743023343}	-92		0.061696s
2025-03-25T00:09:39.225850265Z	eui-70b3d57ed005a0a2	117	15	{'CH4': 774, 'co2': 353, 'rh': 80.4, 'temp': 12.6, 'unix': 1742864971}	-86		0.061696s
2025-03-25T01:09:38.535763204Z	eui-70b3d57ed005a0a2	117	16	{'CH4': 780, 'co2': 257, 'rh': 80, 'temp': 13, 'unix': 1742868572}	-88		0.061696s
2025-03-25T02:09:37.816154816Z	eui-70b3d57ed005a0a2	117	17	{'CH4': 791, 'co2': 204, 'rh': 80, 'temp': 13.1, 'unix': 1742872170}	-85		0.061696s
2025-03-25T03:09:37.105855806Z	eui-70b3d57ed005a0a2	117	18	{'CH4': 840, 'co2': 433, 'rh': 80.2, 'temp': 13.1, 'unix': 1742875769}	-86		0.061696s
2025-03-25T04:09:36.374024276Z	eui-70b3d57ed005a0a2	117	19	{'CH4': 857, 'co2': 332, 'rh': 80, 'temp': 13.4, 'unix': 1742879373}	-88		0.061696s
2025-03-25T05:09:35.645449322Z	eui-70b3d57ed005a0a2	117	20	{'CH4': 878, 'co2': 263, 'rh': 80, 'temp': 13.3, 'unix': 1742882971}	-88		0.061696s
2025-03-25T06:09:34.930937390Z	eui-70b3d57ed005a0a2	117	21	{'CH4': 894, 'co2': 199, 'rh': 80.1, 'temp': 13.7, 'unix': 1742886569}	-86		0.061696s
2025-03-25T07:09:34.201999842Z	eui-70b3d57ed005a0a2	117	22	{'CH4': 870, 'co2': 425, 'rh': 79.7, 'temp': 14.1, 'unix': 1742890171}	-86		0.066816s
2025-03-25T09:09:32.747352443Z	eui-70b3d57ed005a0a2	117	24	{'CH4': 898, 'co2': 249, 'rh': 79.7, 'temp': 13.9, 'unix': 1742897366}	-85		0.061696s
2025-03-25T10:09:32.027113530Z	eui-70b3d57ed005a0a2	117	25	{'CH4': 899, 'co2': 195, 'rh': 79.7, 'temp': 14.4, 'unix': 1742900965}	-86		0.061696s
2025-03-25T11:09:31.332738778Z	eui-70b3d57ed005a0a2	117	26	{'CH4': 895, 'co2': 428, 'rh': 79.8, 'temp': 14.7, 'unix': 1742904564}	-83		0.061696s
2025-03-25T12:09:30.650960098Z	eui-70b3d57ed005a0a2	117	27	{'CH4': 921, 'co2': 328, 'rh': 79.6, 'temp': 15.5, 'unix': 1742908168}	-86		0.066816s
2025-03-25T13:09:29.964275414Z	eui-70b3d57ed005a0a2	117	28	{'CH4': 998, 'co2': 249, 'rh': 80.5, 'temp': 17.9, 'unix': 1742911764}	-86		0.061696s
